run_accession	sample_accession	fastq_ftp	fastq_bytes	library_name
SRR31465449	SAMN45004408	ftp.sra.ebi.ac.uk/vol1/fastq/SRR314/049/SRR31465449/SRR31465449_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR314/049/SRR31465449/SRR31465449_2.fastq.gz	22144886;25142484	37_S37_L001
SRR31465450	SAMN45004407	ftp.sra.ebi.ac.uk/vol1/fastq/SRR314/050/SRR31465450/SRR31465450_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR314/050/SRR31465450/SRR31465450_2.fastq.gz	35804259;40062842	36_S36_L001
SRR31465452	SAMN45004405	ftp.sra.ebi.ac.uk/vol1/fastq/SRR314/052/SRR31465452/SRR31465452_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR314/052/SRR31465452/SRR31465452_2.fastq.gz	25723242;29292200	34_S34_L001
SRR31465456	SAMN45004375	ftp.sra.ebi.ac.uk/vol1/fastq/SRR314/056/SRR31465456/SRR31465456_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR314/056/SRR31465456/SRR31465456_2.fastq.gz	30346282;34148683	4_S4_L001
SRR31465457	SAMN45004401	ftp.sra.ebi.ac.uk/vol1/fastq/SRR314/057/SRR31465457/SRR31465457_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR314/057/SRR31465457/SRR31465457_2.fastq.gz	31706530;37000185	30_S30_L001
SRR31465458	SAMN45004400	ftp.sra.ebi.ac.uk/vol1/fastq/SRR314/058/SRR31465458/SRR31465458_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR314/058/SRR31465458/SRR31465458_2.fastq.gz	26897737;30306197	29_S29_L001
SRR31465459	SAMN45004399	ftp.sra.ebi.ac.uk/vol1/fastq/SRR314/059/SRR31465459/SRR31465459_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR314/059/SRR31465459/SRR31465459_2.fastq.gz	28495942;32453642	28_S28_L001
SRR31465460	SAMN45004398	ftp.sra.ebi.ac.uk/vol1/fastq/SRR314/060/SRR31465460/SRR31465460_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR314/060/SRR31465460/SRR31465460_2.fastq.gz	26955514;30790720	27_S27_L001
SRR31465471	SAMN45004388	ftp.sra.ebi.ac.uk/vol1/fastq/SRR314/071/SRR31465471/SRR31465471_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR314/071/SRR31465471/SRR31465471_2.fastq.gz	29342474;31711336	17_S17_L001
SRR31465474	SAMN45004385	ftp.sra.ebi.ac.uk/vol1/fastq/SRR314/074/SRR31465474/SRR31465474_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR314/074/SRR31465474/SRR31465474_2.fastq.gz	21232032;25529824	14_S14_L001
SRR31465484	SAMN45004461	ftp.sra.ebi.ac.uk/vol1/fastq/SRR314/084/SRR31465484/SRR31465484_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR314/084/SRR31465484/SRR31465484_2.fastq.gz	26571535;29359930	90_S90_L001
SRR31465488	SAMN45004457	ftp.sra.ebi.ac.uk/vol1/fastq/SRR314/088/SRR31465488/SRR31465488_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR314/088/SRR31465488/SRR31465488_2.fastq.gz	23320444;26514735	86_S86_L001
SRR31465489	SAMN45004456	ftp.sra.ebi.ac.uk/vol1/fastq/SRR314/089/SRR31465489/SRR31465489_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR314/089/SRR31465489/SRR31465489_2.fastq.gz	27998949;30112443	85_S85_L001
SRR31465492	SAMN45004453	ftp.sra.ebi.ac.uk/vol1/fastq/SRR314/092/SRR31465492/SRR31465492_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR314/092/SRR31465492/SRR31465492_2.fastq.gz	32766253;35746046	82_S82_L001
