name	ID	mz	rt	ppm	formula	KEGG	Rosacea_Mean	Rosacea_Median	Rosacea_RSD	control_Mean	control_Median	control_RSD	FC	log2FC	P.value	-log10(P.value)	FDR	VIP	posneg	Class
p-Octopamine	M136T198	136.0754	197.8	28.1755556111677	C8H11NO2	C04227	114149418.44	110770036.8	29.25	170905983.62	172621097.1	30.69	0.67	-0.58	0.000595969225572696	3.22	0.00249668761996282	1.30471164737943	pos	1-hydroxy-2-unsubstituted benzenoids
Farnesoic acid	M236T709	236.1614	708.7	12.6541952792353	C15H24O2	C16502	86113985.6	19784724.63	259.62	8016324.83	7317370.24	30.16	10.74	3.43	0.0002151664153916	3.67	0.00110248368872181	1.30309315493286	pos	NA
2,3-Butanediol	M155T534	154.9899	533.6	1.796943071647	C4H10O2S2	C00265	12876972.27	11356601.18	56.33	48358715.68	28557639.11	86.64	0.27	-1.91	0.000332368132015394	3.48	0.00157247940781654	1.30113908147285	pos	Alcohols and polyols
Dehydroascorbate	M174T119	174.0117	119	27.0096780849444	C6H6O6	C05422	30813669.86	30670118.94	12.04	36961554.66	36549727.64	14.69	0.83	-0.26	0.000448743749351916	3.35	0.00199747851472084	1.29780743877786	pos	NA
3-Indoleacrylate	M170T453	170.0596	453	21.9570080135443	C11H9NO2	C21283	1780953.6	1137856.08	78.44	793523.41	620043.77	57.28	2.24	1.17	0.000649033386893566	3.19	0.00268201505745087	1.29376996023523	pos	NA
Retinol	M269T706	269.2254	705.7	2.50429101422387	C20H30O	C00473	13773307.55	5525103.25	185.01	2595765.71	2382271.33	44.13	5.31	2.41	0.000271209990746421	3.57	0.00133177758662988	1.28619838169366	pos	NA
2-Methylserine	M119T198	119.049	197.8	2.32283757097934	C4H9NO3	C02115	26697998.74	25891596.8	30.09	39729380.88	40601059.87	31.26	0.67	-0.57	0.000759246563182222	3.12	0.00302970055338522	1.2842546901287	pos	NA
Pantothenic acid	M220T359	220.1171	359.3	2.64338690180595	C9H17NO5	C00864	7521812.14	6067428.63	43.67	11466818.85	10728023.35	32.4	0.66	-0.61	0.000633121634756387	3.2	0.00262349267356731	1.28327850103886	pos	Polyols
L-Tyrosine	M182T198	182.0806	197.8	3.16343421537081	C9H11NO3	C00082	1008328219.68	978621763.65	28.78	1494355684.34	1500634081.5	31.84	0.67	-0.57	0.000787286609152381	3.1	0.00311328903849497	1.27920697163558	pos	Amino acids, peptides, and analogues
4-Quinolinecarboxylic acid	M173T60	172.9553	60.1	13.009423984216	C10H7NO2	C06414	48697436.97	46410350.87	41.9	24252078.78	26469777.02	32.31	2.01	1.01	0.000874109320277231	3.06	0.00337223522437031	1.26111102988532	pos	NA
